FIPS,GEO_ID,NAME,B19013_001E
12125,0500000US12125,"Union County, Florida",55139
12127,0500000US12127,"Volusia County, Florida",52407
12129,0500000US12129,"Wakulla County, Florida",67480
12131,0500000US12131,"Walton County, Florida",67390
12133,0500000US12133,"Washington County, Florida",37260
13001,0500000US13001,"Appling County, Georgia",37924
13003,0500000US13003,"Atkinson County, Georgia",35703
13005,0500000US13005,"Bacon County, Georgia",36692
13007,0500000US13007,"Baker County, Georgia",34034
13009,0500000US13009,"Baldwin County, Georgia",46250
13011,0500000US13011,"Banks County, Georgia",50912
13013,0500000US13013,"Barrow County, Georgia",62990
13015,0500000US13015,"Bartow County, Georgia",61226
13017,0500000US13017,"Ben Hill County, Georgia",32077
13019,0500000US13019,"Berrien County, Georgia",42089
13021,0500000US13021,"Bibb County, Georgia",41317
13023,0500000US13023,"Bleckley County, Georgia",46992
13025,0500000US13025,"Brantley County, Georgia",34679
13027,0500000US13027,"Brooks County, Georgia",37516
13029,0500000US13029,"Bryan County, Georgia",76121
13031,0500000US13031,"Bulloch County, Georgia",48786
13033,0500000US13033,"Burke County, Georgia",45699
13035,0500000US13035,"Butts County, Georgia",48282
13037,0500000US13037,"Calhoun County, Georgia",41962
13039,0500000US13039,"Camden County, Georgia",60594
13043,0500000US13043,"Candler County, Georgia",36955
13045,0500000US13045,"Carroll County, Georgia",59197
13047,0500000US13047,"Catoosa County, Georgia",58932
13049,0500000US13049,"Charlton County, Georgia",42743
13051,0500000US13051,"Chatham County, Georgia",57739
13053,0500000US13053,"Chattahoochee County, Georgia",45700
13055,0500000US13055,"Chattooga County, Georgia",37351
13057,0500000US13057,"Cherokee County, Georgia",84817
13059,0500000US13059,"Clarke County, Georgia",40363
13061,0500000US13061,"Clay County, Georgia",32434
13063,0500000US13063,"Clayton County, Georgia",49460
13065,0500000US13065,"Clinch County, Georgia",38844
13067,0500000US13067,"Cobb County, Georgia",80830
13069,0500000US13069,"Coffee County, Georgia",42526
13071,0500000US13071,"Colquitt County, Georgia",36799
13073,0500000US13073,"Columbia County, Georgia",82251
13075,0500000US13075,"Cook County, Georgia",40943
13077,0500000US13077,"Coweta County, Georgia",79795
13079,0500000US13079,"Crawford County, Georgia",47917
13081,0500000US13081,"Crisp County, Georgia",38272
13083,0500000US13083,"Dade County, Georgia",40384
13085,0500000US13085,"Dawson County, Georgia",72260
13087,0500000US13087,"Decatur County, Georgia",40567
13089,0500000US13089,"DeKalb County, Georgia",65116
13091,0500000US13091,"Dodge County, Georgia",42211
13093,0500000US13093,"Dooly County, Georgia",48039
13095,0500000US13095,"Dougherty County, Georgia",40947
13097,0500000US13097,"Douglas County, Georgia",67651
13099,0500000US13099,"Early County, Georgia",34811
